application_id,occurences
5S09W002320,4
5S34C391919,2
5S34C394795,22
8 33C391047,4
2 41C372812,2
2 07C380294,5
5F54C374090,3
9 37C375272,4
5F16C371879,3
4 19C374782,2
5S09C379363,3
5S34C371019,6
5S50C393136,15
5F10W004862,2
6B19C388828,2
5F24C378531,5
5F15C372303,5
3 56C377302,13
3 56C377304,3
9 37C377355,29
5F10C387153,2
8 33C392983,7
9 37C383379,3
5S34W004777,2
9 37C382549,4
5R04C387390,6
5S39C371839,19
6B15C373072,2
2 07C372028,14
5S05C376281,3
5F10C381455,6
2 07C390626,3
9 30C393938,2
5R52C368551,2
9 37C376248,5
2 01C362176,2
5S34C379082,4
5F10C395234,2
2 07C381195,3
2 07C389684,3
6B36C391431,2
5S50C381980,18
4 19C377677,6
5S31C376305,2
5S07C369391,5
3 44C369322,2
1 12C360943,3
6B36W001994,9
4 56W004496,2
5F15C384738,7
2 41C375808,2
5S57C386565,2
3 44C372293,3
2 07C371844,7
5F20W002142,2
2 07C390827,3
2 01C393350,3
9 37C389233,2
5F10C388214,2
4 19C364559,2
2 21C384586,2
5F15C375784,2
5R04C386346,2
9 37C386349,4
9 33C382411,2
5F54C391618,5
5S39W004320,2
5F15C391960,2
2 41C379155,2
4 56C382963,27
8 33W002603,5
5F54W004090,7
4 19C369000,3
8 33C379281,2
5F24W004577,2
2 07C384012,2
8 30C379059,3
9 33C391467,5
5S39W003411,3
2 49C389415,2
5S55C388968,6
2 28C386882,2
6B36W003009,2
9 37C390044,3
1 49C376993,2
5F15C389109,5
8 36C382645,5
4 19C383387,3
1 23W003698,2
5F20C372584,3
5S50C393748,4
5S55C389484,2
3 35W005134,2
9 37C391920,3
3 27C366075,2
8 33W004219,7
4 19C383512,14
8 33C392880,4
3 56C377305,12
8 36C369665,7
2 07C374417,3
9 30C375117,2
5R04C383988,9
9 37C369570,3
5F10C393781,2
9 37W004341,23
2 01C394785,3
9 33C393102,4
6B36W004043,2
6B36C383166,3
7 33C393583,2
5F24C392774,2
5S50W002045,5
8 33C393826,2
6B15C378698,4
4 19C384661,2
7 13C379282,4
5S50C385158,17
6B14W004624,2
5S26C370724,2
1 12C369321,15
2 48C381451,2
8 30C384483,3
5F10C391099,2
4 19C371890,4
5F15C377685,2
5R47C376113,17
9 37C372500,2
5F15C365419,3
5S39C376008,20
9 37C382650,2
1 12C387894,6
4 19C393379,3
3 42C393395,2
8 33W002228,2
8 33C393414,4
4 19C391379,3
5F15W002377,2
4 19C394445,2
8 33C380383,13
6B19C376766,4
8 36C385014,2
5R52C373489,21
9 33C393794,4
5F10C370627,5
6B36W004461,2
5R47C392963,9
4 19C363086,3
5S55C392517,6
3 40C388223,2
9 37C374622,4
7 33C393566,28
3 42C372659,2
6B36C370928,2
3 40C371663,2
8 33C394141,5
8 33C394140,5
9 37C389820,12
4 19C385627,3
9 37C376399,2
2 38C394556,3
5F24C385715,4
4 56C377303,13
4 56C377300,23
5F15W005233,13
5S09C392092,4
5S55C390189,2
2 07C379259,2
3 42W003161,4
5R04C379855,7
4 19C371403,2
6B19C395274,13
8 33C376715,4
9 37C368844,5
9 37C386319,3
9 37C371988,2
5S57C372257,5
4 19C395666,11
5F54W004751,2
9 37C390739,4
7 36C391138,3
5F10C384091,2
2 07C375812,8
5S39C361764,2
3 27C391045,18
4 19C387429,2
7 36W004993,2
5S31C361290,3
5F20C383507,2
8 36C382115,3
3 40C392847,3
5F10C374276,8
8 33C393415,8
1 49C392615,8
5F10C380588,8
2 01C367607,3
1 47C379589,2
9 37C365889,6
5S58C394645,3
5F24W003408,2
1 49C385165,2
5F15C373932,2
9 37C391245,4
4 19W004330,2
8 36C384130,2
5S50C371097,4
3 27C370446,2
5F22W004520,2
5F10C378245,6
9 37C390196,2
4 19C377960,3
3 42C390759,2
7 13C369936,4
6B36C368996,3
4 19C383040,10
6B19C389268,2
2 21C382043,8
5S31C392727,25
5S51C376737,2
7 13C374096,2
7 13W003593,2
4 56C378011,6
8 33C393092,2
4 19C390482,4
5S34C381499,5
4 56C387343,9
5S39C394713,3
8 36C391130,2
2 01C383693,2
3 42C377301,17
3 42C377306,51
3 40W002110,3
3 27C374777,4
2 41C377003,2
5F54C381953,3
4 56C375435,19
5S31W004815,2
6B36C370952,3
3 27C395884,6
6B19C396037,3
9 37C377619,2
9 37C370056,3
5F54C367313,3
6B36W002912,2
9 37C392683,3
8 33C389749,3
8 33C389748,24
5S09C394636,2
4 19C390403,3
2 01C395662,2
4 19C355426,5
5R11C375766,3
8 36C379270,2
5R04C390760,40
5F15C388812,27
9 30C385979,2
9 37C385034,2
9 37C385033,2
9 37C354966,2
9 37C354961,2
5F15C388404,3
2 01C373383,3
2 43C389894,3
5S50W003459,5
3 27C394627,3
3 40C382777,2
8 33C390401,5
9 37C390566,9
9 37C390819,3
5F20C395979,5
8 30C391726,10
5F16C372745,3
5F54C389430,2
6B36W003025,5
8 33C378072,8
4 19C391731,3
5S05W004787,3
8 33C378537,2
7 33C390724,8
6A31C373043,2
2 41C370582,6
5F20C392896,4
8 30C370170,3
5S09C384430,3
5F15W003944,2
9 37C385741,2
7 13W004087,2
3 27C372839,2
2 41C382404,4
5S39C367809,2
2 43C383758,2
2 48C371003,2
2 49C387394,2
1 47C373408,2
5F54C390416,43
5S34C381024,14
8 33C390419,2
8 36C359097,2
8 33C372546,3
7 33C370155,3
9 37W004097,2
2 07C378586,10
5S34C389495,18
3 27C370365,3
5S31C392067,6
4 19C362974,2
5F16C394698,4
5S50C371373,18
9 37C373185,3
9 33C396008,2
3 44C387268,2
5R45C387816,10
5S31C365743,11
4 19C374539,4
5F54C374433,3
6B19W004961,2
5F16C392150,4
6A02C374451,2
8 36C368438,2
5F15C391730,6
2 41C377176,12
8 30W004872,2
6B36W003909,3
6A31C372532,2
9 37C376332,3
6B36W002166,14
5F54C395229,12
3 42C392967,2
5S05C386323,2
3 42C377594,2
5S39C372583,16
5F10W002911,4
5S50C369405,2
8 30W002545,2
9 37C381293,6
9 37C370436,4
3 42C367102,2
3 44C372116,3
1 49C393465,3
5F10C388632,9
2 01C394193,12
4 19C364194,3
5F10W003442,4
6B36C370900,5
2 49C365142,2
1 49C383447,2
9 37C378968,4
5F15C372636,4
5F24C392546,2
5F10C387966,3
5S34C395520,4
4 19C385018,2
9 37C377569,5
3 44C376377,4
6B36W003935,6
5F54C388563,13
5F54C388564,14
9 37C373324,2
4 56W004646,2
5S50C382462,10
5R52C390336,2
9 37C381154,20
4 56C394460,10
5F15W002555,3
6B36C376492,3
4 19C377399,2
9 37C376592,3
4 56C392132,3
5S50C378888,28
4 19C388212,3
7 33W002821,21
2 28C390795,2
6B36W002663,4
9 37C388768,8
5S57C370349,2
8 30C390583,4
9 37C389382,4
9 37C381630,6
5F54W002440,3
3 42C377568,3
2 07C386423,6
5S34C383739,8
5S34C381380,14
2 41C359860,6
8 30C391645,6
2 01C390433,5
8 33C390761,4
5S03C372507,2
4 19C379565,6
1 49C375874,2
7 33C387448,3
5F54C390834,11
4 19C364658,9
1 47C375658,2
9 37C378796,2
5S05C390152,14
4 19W003536,2
4 19C361973,8
3 27C362148,3
5F15C388277,2
3 27C379595,3
5F10C366076,2
5F16C390406,2
5F10W003607,19
9 33C393788,14
5F10C375116,3
6B36C376789,3
2 07C367502,2
3 27C390304,3
6A29W003791,2
8 30C395634,10
9 37C389142,2
8 33W002285,3
9 37C392511,2
5S29C393349,2
3 43C382343,4
6B36C377119,9
8 36C371321,2
7 33W002151,3
5S09C380961,3
9 37C381064,2
9 37C386306,2
7 33C380384,9
9 37C394430,4
5F15W002422,2
3 40C374852,4
6B15C381557,3
3 40C360891,8
5S09C391015,2
5F10C391555,3
2 41C386291,4
4 30C373855,2
7 36W004980,2
5F54C395230,15
8 36C374511,3
1 47C373958,2
9 33C390882,19
5S05C395703,3
9 37W004898,2
4 19C373926,3
4 19C388220,3
8 36C386849,2
2 41C363798,2
5S29C376329,4
3 35C375194,4
5S48C395695,3
5S34C373163,2
5F15C372890,3
4 19C370669,2
4 19C379828,3
2 28C387274,2
5F16C389491,2
5S39C395542,5
8 36C386984,4
6B36W002806,3
5S31C381090,2
7 36C390136,2
4 19C370587,2
3 27C378924,5
5F15W004800,2
5F15W005034,2
9 37C376354,3
5S50C375523,13
5S34C373595,3
5S31C374770,3
9 37C364509,7
5F24C366653,3
4 19C372226,5
7 13W003975,2
9 37C376190,2
8 30W004661,2
5F10C376502,2
1 12C379219,10
4 19C372793,2
6B36W002406,2
6A31C365897,2
9 37W004636,2
2 07W003585,2
4 19C395275,7
9 37C377788,2
3 40W002321,3
8 36C377984,4
2 21W004306,2
4 19C389267,2
7 33W005050,10
2 41C369323,2
4 19C362426,8
5S17C383950,4
8 30C376110,5
1 49C392975,2
4 19C387034,2
1 23C383150,2
5S58C386338,5
5F10C391318,7
8 36C384017,3
5F15C384663,2
8 33C391061,2
6B36C363188,4
5S34C389720,17
6B15C379379,2
3 40C382928,2
9 37C338400,2
4 19C325392,4
7 13W003812,2
5S34C389918,2
2 41C363957,10
2 48C364227,4
6B19C389819,46
4 19C360150,2
5R32C395543,4
9 37C394731,3
6B36C391137,4
1 23C366534,5
1 12C361093,2
4 19C371139,2
3 40C373164,2
4 19C362824,2
6B15C369552,4
2 48C371697,2
5S57C390486,3
4 19C371445,8
9 37C368802,4
9 37C377549,2
1 23C375828,2
5S39W003631,3
4 19C391971,2
5R04C382601,9
4 19C359548,2
5F54C381724,7
5F15C392008,4
5S58C383799,3
8 30C372068,2
5S34C373601,2
5F15C378618,2
5S34W003736,3
5F15C375115,2
9 37C369566,2
4 19C386786,6
2 43C372565,2
6B36C369453,2
3 40C361502,4
5R04W003363,2
4 19C367990,4
9 33C393879,6
4 19C378838,5
8 30W002668,3
5F15C382059,2
8 30C375908,15
8 30C375907,5
2 41C372810,3
2 41C372811,3
5F10C368522,3
5F15C378693,9
5F15C378695,38
7 36C394015,4
6B36C391188,2
9 37C368930,2
6B36C382915,3
5F10C367707,4
5S39C378327,2
5F10C374536,6
4 56C368320,2
2 01C373024,2
1 12C393398,2
5S57C375495,3
9 30C373809,3
5F16W002339,2
5S39C389561,4
5F15C390652,23
5S50C381583,12
8 30C395186,5
2 43C392570,2
5S50C371668,32
3 44C390104,2
8 36W004629,2
8 36C390356,20
4 19C371981,2
8 36C374003,2
8 33C391717,11
2 48C389252,3
7 33W002895,2
6B36W004573,4
2 01C358203,5
6B36W002725,3
5S39C388293,4
8 36C382644,4
4 19C392614,2
5S34C385804,18
4 56C393829,13
4 19C382621,3
3 40C378895,5
5S50C373629,3
5F10C374624,2
4 19C395654,2
5F10C379218,2
8 36W002133,2
5F54C393572,18
5S46C375048,2
5F54C374939,15
6B15C378124,6
5S09C376648,4
2 21C377954,5
2 41C379464,7
8 36C380204,3
7 37W004502,2
5R45C375507,4
7 33C368263,2
7 13W002574,3
5F10W001999,7
5F10C384185,4
5F15C370838,25
9 37C376036,6
3 40C382366,2
5S05C385543,31
5F10C389119,10
2 07C392482,2
5S09C375619,2
2 43C378003,3
8 36C366339,4
7 13C378332,3
3 40C370686,2
5S57C390731,2
5S57C379850,7
9 37C395063,3
5S07C367471,2
4 19C361963,5
2 07C369791,2
8 30C395921,3
8 33C393497,3
1 49C393346,2
4 56C377299,15
9 37C378443,8
8 33C391173,4
5R04C385464,6
4 19C371873,17
4 19C367352,6
3 35C386482,2
8 33C377185,3
7 33C384303,2
5F10C372564,2
6B36C373161,3
5S58C389410,2
5S34C372006,14
3 35C393537,2
3 42C381546,2
2 01C370864,8
5S09C384831,3
5F22C387395,4
5S01C368560,2
5R04C394338,18
